gene,tpm
PCP4L1,1.681
MPZ,4.068
SDHC,15.95
FCGR2A,6.346
HSPA6,93.52
FCGR2C,7.204
FCGR3B,0.09981
FCGR2B,18.93
FCRLA,59.9
FCRLB,3.167
DUSP12,30.54
ATF6,25.24
OLFML2B,0.4006
NOS1AP,0.02641
C1orf226,0.03169
SH2D1B,0.0
UHMK1,77.95
UAP1,37.34
DDR2,1.632
HSD17B7,31.48
CCDC190,0.0
RGS4,0.0
RGS5,1.209
NUF2,46.53
PBX1,0.03104
LMX1A,0.0
RXRG,0.0
LRRC52,0.0
MGST3,8.957
ALDH9A1,48.94
TMCO1,28.82
FAM78B,0.192
FMO9P,0.0
POGK,27.19
TADA1,36.87
ILDR2,2.133
MAEL,0.3911
GPA33,0.1924
POU2F1,12.87
CD247,0.9495
CREG1,22.24
RCSD1,74.14
MPZL1,25.7
ADCY10,0.01114
MPC2,29.82
DCAF6,40.16
GPR161,0.09634
TIPRL,71.37
SFT2D2,46.89
TBX19,7.727
XCL1,3.402
DPT,0.4213
LINC00626,0.0
LINC00970,0.1212
ATP1B1,63.46
NME7,9.309
BLZF1,11.14
CCDC181,0.03551
SLC19A2,49.97
F5,0.8648
SELP,0.4255
C1orf112,10.16
SELL,286.2
SELE,0.1377
METTL18,23.32
SCYL3,18.44
KIFAP3,34.58
LINC01142,0.0
GORAB,16.79
PRRX1,4.778
MROH9,0.0
FMO3,0.0
FMO6P,0.0
FMO2,0.07108
